category_cc,count
Entertainment,7171
Music,6108
Gaming,4830
Howto & Style,3578
People & Blogs,3450
Education,2376
Film & Animation,1897
Comedy,1366
Science & Technology,1201
Sports,1189
Autos & Vehicles,724
News & Politics,680
Travel & Events,349
Pets & Animals,317
Nonprofits & Activism,145
